TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2022-04-09 14:19:25.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected 1180-2TFL-2EF4
2022-04-09 14:19:25.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-09 14:19:26.901,1.157659436309457,0.7312750425286872,0.6356383385146976,1.21004251950905,0.6568946522725593,-0.05238156616736491,-0.3976659411619817,0.566305055488576,0.3939411307128027,-0.5248202977114538,-0.8091505741670388,0.3059480683791256,0.1856246596630994,-0.2761325332498505,-0.6627074978596077,-0.07056484706418334,-0.005010685287067028,-0.8756508781540863,-0.8940949761250745,-0.1655018420948118,838.9399746673027,837.2949943248179,829.0700926123933,843.8749156947575,-0.089844,0.117188,1.011720,1,1,1,1,1,19.570000
2022-04-09 14:19:27.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-09 14:19:27.901,0.9888975525881077,0.7312750425286872,0.6356383385146976,1.21004251950905,0.8383521568864879,-0.05238156616736491,-0.3976659411619817,0.566305055488576,0.6846426827941109,-0.5248202977114538,-0.8091505741670388,0.3059480683791256,0.2819343237726731,-0.2761325332498505,-0.6627074978596077,-0.07056484706418334,0.2444740869006534,-0.8756508781540863,-0.8940949761250745,-0.1655018420948118,845.5198960372425,852.0998174071821,812.6202891875442,845.5198960372425,-0.078125,0.117188,1.019533,1,1,1,1,1,19.570000
2022-04-09 14:19:28.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-09 14:19:28.901,0.9888975525881077,0.7312750425286872,0.6356383385146976,1.21004251950905,0.8383521568864879,-0.05238156616736491,-0.3976659411619817,0.566305055488576,0.6846426827941109,-0.5248202977114538,-0.8091505741670388,0.3059480683791256,0.2819343237726731,-0.2761325332498505,-0.6627074978596077,-0.07056484706418334,0.2444740869006534,-0.8756508781540863,-0.8940949761250745,-0.1655018420948118,827.4251122699085,848.8098567222122,817.555230214999,838.9399746673027,-0.066406,0.113281,1.019533,1,1,1,1,1,19.570000
2022-04-09 14:19:29.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-09 14:19:29.900,0.9888975525881077,0.7312750425286872,0.6356383385146976,1.21004251950905,0.8383521568864879,-0.05238156616736491,-0.3976659411619817,0.566305055488576,0.6846426827941109,-0.5248202977114538,-0.8091505741670388,0.3059480683791256,0.2819343237726731,-0.2761325332498505,-0.6627074978596077,-0.07056484706418334,0.2444740869006534,-0.8756508781540863,-0.8940949761250745,-0.1655018420948118,824.1351515849386,838.9399746673027,814.2652695300292,832.3600532973632,0.039063,0.191407,1.007814,1,2,1,1,2,19.570000
2022-04-09 14:19:30.901,0.9888975525881077,0.7312750425286872,0.6356383385146976,1.21004251950905,0.8383521568864879,-0.05238156616736491,-0.3976659411619817,0.566305055488576,0.6846426827941109,-0.5248202977114538,-0.8091505741670388,0.3059480683791256,0.2819343237726731,-0.2761325332498505,-0.6627074978596077,-0.07056484706418334,0.2444740869006534,-0.8756508781540863,-0.8940949761250745,-0.1655018420948118,850.4548370646971,852.0998174071821,815.9102498725141,843.8749156947575,-0.109375,0.109375,1.023439,1,2,1,1,2,19.459999
2022-04-09 14:19:31.901,0.9888975525881077,0.5004011808808709,0.6385896223131056,0.8266208998619231,0.8383521568864879,0.1437859925759513,0.05960511757935982,0.7818814892931971,0.6846426827941109,0.4365407750742525,0.3698448794820476,1.040719513125176,0.2819343237726731,-0.4671713407189794,-0.3445511821069731,0.4596569515356014,0.2444740869006534,-0.8360001920146026,-0.8626337809433903,-0.3073157793599223,847.1648763797273,850.4548370646971,824.1351515849386,860.3247191196066,-0.136719,0.113281,1.000002,1,1,1,1,1,19.459999
2022-04-09 14:19:32.901,0.9807987693086733,0.1372267092036864,0.2589038405908963,1.042763209617419,0.4353321280604699,-0.3254226807488884,-0.1747121709213173,0.4198122979186071,0.3559444638600995,-0.2193694713065844,-0.2482192720063739,0.5241563749597891,-0.03818799460695929,-0.692499360899094,-0.5478266485425008,0.03887004517017491,-0.40831053799155,-0.8433384388602474,-0.9555174334972918,-0.6181055688055028,901.4492276817293,929.4138935039726,781.3656626803311,866.9046404895462,-0.027344,0.144531,1.023439,1,1,1,1,1,19.459999
2022-04-09 14:19:33.912,1.172461039914885,0.1504617576322394,0.8893418221654569,1.160355830024785,0.3448774811634631,-0.136981357234266,0.4315011364231348,0.4591704651769909,-0.09982375693704774,-0.3144239132179447,0.284892750990789,0.3973932634218577,-0.1812199135313229,-0.7743848723447864,-0.4464457176605109,0.1460183268498629,-0.5335872943781095,-0.8626225341214696,-0.9224955118449667,-0.246998246863369,814.2652695300292,852.0998174071821,837.2949943248179,809.3303285025745,0.140625,0.082031,1.000002,1,1,1,1,1,19.459999
2022-04-09 14:19:34.901,1.166841112544013,0.0917903246695214,0.8208270102648033,1.098926610513665,0.4288458141894274,-0.0086040827829374,0.4344875982362144,0.6621671388997799,0.1288876802834295,-0.3364614369701881,0.2641864799823568,0.3973932634218577,-0.09555268969003732,-0.4934954732245895,-0.4190734278766973,0.2136436448709534,-0.3664334785404043,-0.9308736139290228,-0.8877294605151168,-0.1380740099615589,766.5608395979668,860.3247191196066,773.1407609679065,733.6612327482687,0.234375,0.074219,0.988283,1,1,1,1,1,19.459999
2022-04-09 14:19:34.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-09 14:19:35.901,1.165508206689702,0.07920234839641443,0.3356612883515501,0.9813270181007728,0.4888593754428577,-0.03182234422790649,0.2984138940070604,0.6811074260721842,0.1215550625624564,-0.3667909877510738,-0.6832795283151194,-0.003958071598122869,-0.07278567147674526,-0.4836197082653978,-0.5477596082823477,0.0008519508472465689,-0.3825467031349019,-0.8994946408699693,-0.8049578190627568,-0.4365436479754528,842.2299353522726,847.1648763797273,824.1351515849386,847.1648763797273,0.136719,0.089844,1.007814,1,1,1,1,1,19.459999
2022-04-09 14:19:36.902,0.5049615931947123,0.2714110673460701,0.3397254898884282,0.6175705720795521,0.1808845090680213,-0.08396501342011194,-0.2255598130802483,0.2165451858169001,0.3568220942845554,-0.4244837214409616,-0.265612355161822,-0.04583084325348515,0.1014603759572845,-0.6957119382323081,-0.6451166037348623,-0.3304095694710111,-0.3391916381888984,-1.047415990321909,-1.255190324672478,-0.5804760331968867,829.0700926123933,842.2299353522726,812.6202891875442,853.744797749667,0.148438,0.082031,1.003908,1,1,1,1,1,19.459999
2022-04-09 14:19:37.901,0.4754045560893614,0.04072732130934846,0.1383587122487968,0.6105406563259129,0.4316251993001046,-0.2807171933370753,-0.1231851351516857,0.4945481425890804,0.5732787117070338,-0.09963105440523279,0.008724673307720462,0.3940084707771704,0.2888734617607335,-0.3954531852132894,-0.5651114355571818,0.00945417991805437,0.143280208284229,-0.2566531391748331,-0.2220592544914916,-0.3582319900548866,835.650013982333,847.1648763797273,814.2652695300292,834.0050336398481,0.152344,0.085938,1.011720,1,1,1,1,1,19.459999
2022-04-09 14:19:38.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-09 14:19:38.901,0.7818534516821667,0.224976434125615,0.4114635325830164,0.796176114641953,0.5716970692913661,-0.1899688324949673,0.4174050111186452,0.7960371401247742,0.757561006742592,-0.2397464873476786,0.5723396073531742,0.6018513640679284,0.5064225109562469,-0.2413928925727371,-0.4327395948139264,0.4452390902077016,0.2366939969732821,-0.2264617381387012,-0.4249013659828652,0.03158761901586905,845.5198960372425,837.2949943248179,819.200210557484,857.0347584346367,0.210938,0.078125,0.996095,1,1,1,1,1,19.459999
2022-04-09 14:19:39.901,1.016671886703064,0.3947266994372839,0.5037113520668235,0.8265146066529978,0.5807227461500244,-0.102117555881618,0.4156935325940423,0.7949474703514078,0.757561006742592,-0.5566256106598662,0.5761333220789274,0.582707581383324,0.5517664224719597,-0.2920255533606878,-0.5918935032236345,0.4842948595177422,0.09261992962767022,-0.5922464436310144,-0.8670415891555558,0.09779267780769273,883.3544439143953,804.3953874751197,842.2299353522726,935.9938148739124,0.175782,0.085938,1.007814,1,1,1,1,1,19.459999
