TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2022-04-09 13:47:10.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected 1180-2TFL-2EF4
2022-04-09 13:47:11.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-09 13:47:11.474,0.9395889949172691,0.549211461563573,0.199727630539179,0.7392077888030202,-0.1185341340805618,-0.1337405318869326,0.1760442405975131,0.07741727595270441,0.2910113798358047,0.1732465789204539,0.3740999180511961,0.09154944402491796,0.5357883742860259,-0.3211029372164019,-0.3230472818500156,-0.06954551326371464,0.4989153581669825,-0.641850455393252,-0.5974398225598924,0.1904123331721108,815.9102498725141,842.2299353522726,807.6853481600896,842.2299353522726,0.507813,0.171875,0.859376,1,1,1,1,1,22.930000
2022-04-09 13:47:12.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-09 13:47:12.474,0.9395889949172691,-0.03110423513010329,-0.1832326851393311,0.7392077888030202,-0.1185341340805618,-0.2595310802993491,0.01524899062283302,0.07741727595270441,0.2910113798358047,0.08562640041399779,0.4310180058235211,0.09154944402491796,0.5357883742860259,-0.4120222015964739,-0.3531414881796726,-0.06954551326371464,0.4989153581669825,-0.8200304014563491,-0.7603524609998336,0.1904123331721108,858.6797387771217,855.3897780921519,779.7206823378461,863.6146798045764,0.515626,0.171875,0.855470,1,2,1,1,2,22.930000
2022-04-09 13:47:13.473,0.9395889949172691,0.158296449441982,0.6284987727213561,0.7392077888030202,-0.1185341340805618,-0.004863067515206779,0.3456092654438198,0.07741727595270441,0.2910113798358047,0.02554866444568612,0.343737536719354,0.09154944402491796,0.5357883742860259,-0.4125503728378874,-0.3096360480588443,-0.06954551326371464,0.4989153581669825,-0.6748167029136082,-0.8660628949420028,0.1904123331721108,845.5198960372425,827.4251122699085,814.2652695300292,857.0347584346367,0.480470,0.171875,0.875001,1,2,1,1,2,22.930000
2022-04-09 13:47:14.474,1.010015899412434,0.6496758791850071,0.6388490822336091,0.884549473681169,0.5810376028661571,0.03956755257545566,0.3952642577366506,0.4373977244951816,0.8760736898738131,0.06648763157890407,0.2582097139985498,0.6209811001279208,0.8153906355600151,-0.3815527839633283,-0.2597654895297529,0.3241556785705308,0.2547116647358454,-0.6352910399177323,-0.8244573266079346,-0.07267496806090322,843.8749156947575,847.1648763797273,812.6202891875442,850.4548370646971,0.480470,0.171875,0.875001,1,1,1,1,1,22.930000
2022-04-09 13:47:15.474,0.5529238770150755,0.81602379380317,0.6185912052051276,0.685387717615168,0.499112389940836,0.1452070305616273,0.2317584036971015,0.54490671153129,0.7272257963021791,0.39231950823393,0.01732049081731335,0.4389730041410691,0.6307054981424612,-0.3573124477751836,-0.3165017835505687,0.252419090462989,0.5813381102971457,-0.7444139916065405,-0.7789876069381116,0.08527311660031131,847.1648763797273,838.9399746673027,815.9102498725141,857.0347584346367,0.480470,0.171875,0.875001,1,1,1,1,1,22.930000
2022-04-09 13:47:16.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-09 13:47:16.474,0.8960114356958894,0.4719591561032882,0.3125056859097067,0.8060609050942128,0.7356631875445164,0.3822273897630045,0.39166656916465,0.8846743203867619,0.7716221612162596,0.8301255412791535,0.4029922058899185,1.028596262892524,0.5767435159497079,-0.4430289610823746,-0.1310320638240247,0.3696860487315636,0.2512036568093,-0.9113796948301938,-0.8020580457538934,-0.07786100702930943,801.1054267901499,840.5849550097877,810.9753088450593,809.3303285025745,0.484376,0.179688,0.886720,1,1,1,1,1,22.930000
2022-04-09 13:47:17.484,0.8960114356958894,1.098430464169906,0.2216790964747239,0.9377520140894052,0.7356631875445164,1.053358823566442,-0.1106125623450484,1.183000935224206,0.7716221612162596,1.092285495809082,-0.05149942030110789,1.028596262892524,0.5767435159497079,-0.3823310178807128,-0.2902580796351891,0.6157872134947104,0.2512036568093,-0.6933452020415632,-0.8468900479737335,0.002406106038524703,908.0291490516689,848.8098567222122,843.8749156947575,931.0588738464576,0.390626,0.148438,0.949220,1,1,1,1,1,22.930000
2022-04-09 13:47:18.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
